,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
61,1680307833.8894486,21209,-7.494780226630102,37.91241455078125,2581.868896484375
62,1680307867.6349087,21595,-7.490714649686574,37.67741394042969,2487.004638671875
63,1680307901.4425728,21843,-7.399415486531139,36.12111282348633,2311.91650390625
64,1680307935.0950034,21753,-7.500474957460275,36.208778381347656,2425.04052734375
65,1680307968.910236,21593,-7.441623659798039,35.988243103027344,2420.756591796875
66,1680308002.651476,21980,-7.345725849149426,34.76260757446289,2247.214111328125
67,1680308037.7617834,21925,-7.429228932218764,36.03019332885742,2433.5419921875
68,1680308071.7820973,21879,-7.427325392431277,35.25627136230469,2281.450439453125
69,1680308105.873632,22262,-7.292004848619741,33.644039154052734,2167.769287109375
70,1680308141.4243367,22740,-7.24224825821213,31.62092399597168,2000.4559326171875
71,1680308176.4360213,22561,-7.296659339926551,33.016387939453125,2145.4287109375
72,1680308210.4179058,22773,-7.247892183855095,31.448720932006836,1961.6937255859375
73,1680308244.5976403,22584,-7.249656593290333,31.95137596130371,1963.92626953125
74,1680308278.7637722,22424,-7.229801254578862,32.28092956542969,2006.830810546875
75,1680308312.8071556,22399,-7.301531747001517,32.116939544677734,2002.1463623046875
76,1680308346.8022087,22491,-7.32327604561689,32.49805450439453,2011.8658447265625
77,1680308380.8617752,22625,-7.287349163236697,31.917131423950195,1996.50439453125
78,1680308414.6684911,22521,-7.3476814451409345,31.52947235107422,2012.95263671875
79,1680308448.3414102,22727,-7.289938117710915,30.841840744018555,1916.500244140625
80,1680308482.2848845,22442,-7.250547700935659,30.725753784179688,1967.59228515625
81,1680308516.106168,22610,-7.268462932786856,30.589889526367188,1898.6334228515625
82,1680308550.290591,23024,-7.252597321427847,29.30376625061035,1806.62548828125
83,1680308584.0846996,22778,-7.2698740551274215,30.344633102416992,1860.3077392578125
84,1680308617.6036603,22658,-7.325883707259054,30.73341178894043,1864.434326171875
85,1680308651.820085,22791,-7.30969149353238,30.110326766967773,1895.6705322265625
86,1680308686.053727,22866,-7.2243004463889875,28.4023380279541,1700.526123046875
87,1680308720.0488,22943,-7.23754378662143,28.522113800048828,1778.47705078125
88,1680308754.0406263,22619,-7.380794995288524,30.414947509765625,2004.2576904296875
89,1680308787.6279366,22858,-7.234286257435262,28.22669792175293,1748.57421875
90,1680308821.8549051,22352,-7.311994894782662,30.311389923095703,1904.480224609375
